,x1,x2,x3,d,y
1,0.989936575,0.889365815,0.723510593,FALSE,-0.358069745
2,0.829692625,0.600950182,0.792423744,TRUE,3.029733232
3,0.585886904,0.269994781,0.292966568,FALSE,2.233576443
4,0.417046119,0.729182378,0.655172199,TRUE,4.664107302
5,0.66209688,0.541312913,0.800056242,FALSE,0.731383251
6,0.37930209,0.984469243,0.65230791,FALSE,2.711550008
7,0.424265605,0.828548401,0.260570942,TRUE,0.965293374
8,0.842512691,0.776732672,0.732246706,FALSE,-2.828410205
9,0.376442175,0.956840089,0.015997791,FALSE,0.423171258
10,0.911530065,0.676141762,0.507774415,TRUE,3.310445226
11,0.258538362,0.101771517,0.424074907,FALSE,-1.308100429
12,0.203262769,0.142176935,0.322970179,FALSE,2.448806034
13,0.224613787,0.537933629,0.785424185,TRUE,1.603013436
14,0.914636284,0.503019121,0.34901884,FALSE,2.129802044
15,0.890230997,0.893524954,0.511391061,FALSE,3.776738226
16,0.279540783,0.329132738,0.865241209,FALSE,0.512156981
17,0.429378508,0.065003658,0.479705208,FALSE,0.309034987
18,0.27404702,0.347958609,0.083948128,FALSE,1.41376363
19,0.512474872,0.025546698,0.472165735,FALSE,-0.50613311
20,0.355274114,0.60577462,0.261239277,FALSE,-1.524052533
21,0.127846915,0.306515415,0.593669314,FALSE,3.924025331
22,0.294366778,0.269900892,0.877123982,FALSE,0.183063266
23,0.16143548,0.335489311,0.10257925,FALSE,2.031984078
24,0.506660538,0.460587655,0.419650295,TRUE,-2.959749998
25,0.377715006,0.619278695,0.950795591,FALSE,2.185655739
26,0.185361522,0.853692915,0.667090464,FALSE,-0.175355052
27,0.097394675,0.684282777,0.734791696,FALSE,1.474340241
28,0.84437194,0.733821759,0.704155779,FALSE,-0.879474218
29,0.172153104,0.105036426,0.643075257,FALSE,-0.121580111
30,0.024964523,0.161947288,0.25468614,FALSE,-0.833731045
31,0.572962533,0.317237604,0.144194318,FALSE,-0.170259379
32,0.231643864,0.392947998,0.835363292,FALSE,1.227306584
33,0.385121858,0.232392666,0.758842629,FALSE,0.191361967
34,0.149870741,0.260354823,0.391525404,FALSE,2.041519007
35,0.551969573,0.364535336,0.581832744,TRUE,1.781536258
36,0.278166075,0.017106018,0.76569874,TRUE,6.201849152
37,0.541876743,0.542724639,0.056480981,FALSE,1.808879547
38,0.972725303,0.841775698,0.517609018,FALSE,2.138339204
39,0.697466494,0.28473778,0.652629321,TRUE,3.011655699
40,0.490186031,0.198725653,0.082427868,FALSE,-1.730730326
41,0.47259012,0.778246779,0.934038345,TRUE,2.811233534
42,0.24298591,0.518167061,0.570563471,FALSE,0.041554685
43,0.526279822,0.177190575,0.336847035,FALSE,-1.238085624
44,0.998526135,0.951160791,0.333789227,TRUE,2.484971084
45,0.966452155,0.57706221,0.959120245,FALSE,-0.515186788
46,0.424015761,0.82471627,0.04426552,FALSE,-1.691340779
47,0.257583758,0.101055977,0.578759936,FALSE,-0.899681941
48,0.994311236,0.092575688,0.973244553,FALSE,2.004968567
49,0.185366467,0.523728395,0.211333313,TRUE,1.577811433
50,0.758035332,0.342613609,0.874944743,FALSE,1.866544034
51,0.05943664,0.441093587,0.352262841,FALSE,1.876023608
52,0.185801898,0.327826506,0.28926778,FALSE,-0.471404694
53,0.636969226,0.454428036,0.173713694,FALSE,2.182696469
54,0.641892214,0.940810049,0.41455597,FALSE,6.215064884
55,0.662417121,0.874965306,0.969420574,FALSE,1.401533206
56,0.409965415,0.3581785,0.129629856,FALSE,2.217090925
57,0.383950177,0.324933939,0.376518195,FALSE,0.298266403
58,0.431254078,0.908796473,0.332714913,FALSE,2.660077783
59,0.063719698,0.197465821,0.672999126,FALSE,3.707391078
60,0.305855863,0.446960596,0.089845183,FALSE,2.040278303
61,0.969301577,0.224005086,0.864446061,TRUE,3.639130867
62,0.180786234,0.896847155,0.530166931,FALSE,1.701772423
63,0.815149864,0.777833035,0.117340508,TRUE,1.377966319
64,0.632874259,0.823278685,0.446589003,FALSE,6.01776347
65,0.361671046,0.528467452,0.923015215,FALSE,0.387932117
66,0.281503205,0.408348525,0.293650574,FALSE,-2.233986292
67,0.721278154,0.753793703,0.674625338,TRUE,3.332656611
68,0.092384431,0.948064282,0.328490918,FALSE,-2.073836132
69,0.155009425,0.233710523,0.281459113,FALSE,1.513270278
70,0.892214361,0.335600003,0.620205366,FALSE,-1.500400736
71,0.991042807,0.445764542,0.158197203,FALSE,0.066830913
72,0.442594546,0.92173032,0.80302926,TRUE,1.947552559
73,0.344149584,0.190694367,0.775573707,FALSE,-0.394948369
74,0.162059878,0.872798247,0.7976157,FALSE,3.240749648
75,0.898117877,0.224216345,0.013551026,FALSE,-3.151780127
76,0.234579696,0.393834478,0.048167823,FALSE,1.040224096
77,0.531690305,0.083879127,0.998321353,FALSE,2.48766862
78,0.797954551,0.298871569,0.740804852,TRUE,3.532460827
79,0.265472529,0.085001135,0.913232676,FALSE,4.64233311
80,0.371756776,0.010627307,0.837986608,FALSE,0.726656428
81,0.274631182,0.389347287,0.097011978,FALSE,1.61602283
82,0.606340025,0.376359498,0.482724413,FALSE,-1.112290603
83,0.047392607,0.311621287,0.298099107,FALSE,-0.112463625
84,0.654180061,0.564982339,0.153304402,FALSE,2.537371866
85,0.931906697,0.733317153,0.651738804,TRUE,2.48468277
86,0.643536362,0.670817748,0.474269482,FALSE,0.247932891
87,0.299557332,0.230349432,0.862518106,TRUE,1.26225233
88,0.171410341,0.416259392,0.427514468,FALSE,1.572650857
89,0.640116534,0.603941854,0.088373692,TRUE,6.582308593
90,0.3017032,0.991979616,0.362789107,FALSE,2.05891402
91,0.386089334,0.604315402,0.28567701,FALSE,1.791499186
92,0.463615743,0.471279152,0.614053573,FALSE,1.401040917
93,0.153682291,0.086657254,0.867034564,FALSE,-0.977016123
94,0.69623569,0.423054469,0.996327237,FALSE,-0.967913392
95,0.465760362,0.3369617,0.669094825,FALSE,-0.282559194
96,0.27349477,0.035816314,0.861996954,FALSE,3.784110597
97,0.044595036,0.406414806,0.429457875,FALSE,-1.609039636
98,0.568761204,0.581563702,0.656441598,FALSE,1.453368583
99,0.47076293,0.117073369,0.301636988,FALSE,1.045122351
100,0.751863339,0.554382998,0.271959738,FALSE,-0.515001161
101,0.259972115,0.949163611,0.189706421,FALSE,-0.54009466
102,0.710883829,0.056834823,0.225712487,FALSE,2.746610169
103,0.328196065,0.815463078,0.373098538,FALSE,-2.964498485
104,0.396773008,0.019322016,0.027581583,FALSE,1.796624892
105,0.215346405,0.301244577,0.296394886,FALSE,1.378452895
106,0.18645515,0.201913454,0.505086174,FALSE,-2.065042874
107,0.942297427,0.796552114,0.275360015,TRUE,2.108368516
108,0.63413381,0.924954659,0.980969136,TRUE,2.620175869
109,0.617128569,0.990116604,0.503433431,FALSE,0.0076723
110,0.535312242,0.463287099,0.197636656,FALSE,0.681344809
111,0.910731611,0.2386678,0.259612157,FALSE,1.919579128
112,0.364191507,0.472824316,0.440564667,FALSE,4.01153938
